;regiao_saude;retencao_geral
0;26003;0.6762228036938339
0;26008;0.4915996203216513
0;26005;0.5444344317417891
0;26010;0.7767555512356332
0;26002;0.6279241105636002
0;26007;0.6470817173023056
0;26004;0.6532417337564397
0;26012;0.6663983579857282
0;26006;0.612832822135004
0;26011;0.5279898818501759
0;22007;0.5637254901960783
0;22011;0.6269692997634175
0;22003;0.5624903163039475
0;22002;0.5876531862745098
0;22005;0.6642905739757405
0;22009;0.7032654665779041
0;22001;0.6020273435714613
0;22010;0.5703839869281045
0;22008;0.7044982698961938
0;22004;0.6855822178005747
0;22006;0.7100227591036414
0;41002;0.694865771189277
0;41012;0.6905027162380104
0;41014;0.6915503001900061
0;41017;0.6725102398105288
0;41018;0.6848747573552937
0;41016;0.6849034368830784
0;41011;0.7151756679457145
0;41020;0.7797701363925273
0;41015;0.7173604567025225
0;41008;0.737374746928376
0;41010;0.7311946911831586
0;41005;0.6847223057680399
0;41003;0.7605931795102108
0;41019;0.7238764857863155
0;41013;0.617436974789916
0;41007;0.6882936408575794
0;41021;0.6438677743824802
0;41009;0.6917813172408761
0;41001;0.6699691240132417
0;41004;0.6763932656395891
0;41022;0.659016106442577
0;41006;0.7261379551820727
0;33001;0.7255002382252637
0;33007;0.7110976291417842
0;33002;0.6614687408310163
0;33004;0.7638395365982175
0;33005;0.6636789951969675
0;33009;0.7589816556001381
0;33008;0.7639011315992342
0;33003;0.6809840341821242
0;33006;0.631559136084204
0;24004;0.56366139773504
0;24008;0.5248822256175197
0;24003;0.5608121127238774
0;24006;0.5730130956125765
0;24002;0.6878573243991852
0;24001;0.5847314114182627
0;24007;0.7068439482430764
0;24005;0.4614265679281159
0;11001;0.6501246399369465
0;11002;0.7408806682552357
0;11006;0.6819022675960016
0;11003;0.701235814838756
0;11005;0.6748074229691876
0;11004;0.7342491185113992
0;11007;0.2426470588235294
0;14001;0.7049679627630141
0;14002;0.39542483660130723
0;43001;0.7473040879126678
0;43003;0.806619008714597
0;43015;0.6480377567693745
0;43010;0.7203429617855612
0;43026;0.7734941325014856
0;43029;0.7437773371380638
0;43027;0.7681139122315593
0;43021;0.751519115904632
0;43013;0.7802509874563861
0;43022;0.7966619981325864
0;43008;0.6610943342524659
0;43016;0.7355852344909909
0;43019;0.6424688057040998
0;43025;0.7990323651305661
0;43030;0.7120551629742806
0;43020;0.7455583836098542
0;43009;0.7438498867926618
0;43007;0.8081700645424239
0;43014;0.7446095991186823
0;43023;0.7129410125130158
0;43004;0.6226741431866865
0;43017;0.6968292076411888
0;43011;0.7449823061635721
0;43005;0.7050993124522537
0;43012;0.7200479055258466
0;43018;0.7044568789054083
0;43006;0.7672099142687377
0;43028;0.8213360679353326
0;43002;0.643157679738562
0;43024;0.6646241830065359
0;42008;0.6938824054342629
0;42003;0.671734943977591
0;42002;0.706174841562806
0;42007;0.723366577588042
0;42001;0.708533201995373
0;42013;0.7079805645928509
0;42010;0.714931086070792
0;42011;0.6932110866987491
0;42014;0.639350272223514
0;42016;0.7214114772488887
0;42009;0.7146737421505224
0;42005;0.7711315069947117
0;42017;0.7344827582068065
0;42006;0.6742841626347859
0;42012;0.7768561547191348
0;42015;0.6751452924323811
0;42004;0.7882722057354411
0;28007;0.5193574399456752
0;28001;0.7424191498457919
0;28006;0.5732137264559638
0;28002;0.47255140692640685
0;28005;0.5666141456582634
0;28003;0.5547760654378302
0;28004;0.5025801154768462
0;17002;0.5617317119155355
0;17005;0.6480501404908958
0;17001;0.7250596483652749
0;17003;0.6926295518207283
0;17004;0.58408931864109
0;17007;0.5349439775910364
0;17006;0.738085930171324
0;17008;0.659453781512605
0;27007;0.661561810674608
0;27004;0.48646708683473383
0;27005;0.6228925282234107
0;27003;0.5451598935657784
0;27008;0.6196017003292544
0;27006;0.5977623911555573
0;27010;0.5939319667260844
0;27001;0.752275103072423
0;27002;0.5456707796240668
0;27009;0.5247017178083355
